Trial,Number_of_reaches
2,1
3,1
4,2
5,2
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,1
19,1
20,1
23,1
24,1
25,2
26,3
27,3
29,3
30,2
31,2
32,1
34,3
35,2
36,1
37,2
38,1
39,3
40,2
41,3
42,1
43,2
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,3
52,2
53,1
54,2
55,2
56,2
57,3
58,2
59,2
60,2
61,2
62,4
63,1
64,2
65,3
66,2
67,3
68,2
69,2
70,2
71,2
72,2
73,2
74,3
75,2
76,2
77,2
78,1
79,2
80,2
81,2
82,1
83,1
84,2
85,2
86,2
87,2
88,3
89,2
90,2
91,2
92,1
93,2
94,2
95,1
96,2
97,1
98,2
99,2
100,1
101,2
102,1
103,2
104,3
105,2
106,1
107,1
108,2
109,2
110,1
111,1
112,2
